               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10583,            0.053699,             0.02841,             0.12765,             0.38571,             0.11602,            0.023727,            0.056532,             0.02535,            0.020475,             0.00028,             0.00028,             0.09748
                   1,            0.065527,            0.052745,            0.024891,            0.091586,             0.43657,             0.10204,            0.019082,            0.044029,            0.024657,            0.014623,          0.00056987,          0.00056987,             0.09487
                   2,            0.052694,            0.045203,            0.022809,             0.20827,             0.22143,             0.11916,            0.019832,            0.049223,            0.021136,            0.015194,          0.00085924,          0.00085924,            0.092259
                   3,            0.051697,            0.050122,            0.021748,              0.3328,             0.34146,             0.31424,            0.066925,            0.040455,            0.015134,            0.015636,           0.0011477,           0.0011477,            0.089648
                   4,            0.052808,            0.054768,            0.019181,             0.25406,             0.79286,             0.33734,            0.087412,            0.036772,            0.014513,            0.010272,           0.0014349,           0.0014349,            0.087035
                   5,            0.045419,            0.041673,            0.014183,             0.75571,             0.61786,             0.77131,             0.28338,            0.027982,            0.012399,           0.0053758,           0.0017204,           0.0017204,             0.08442
                   6,            0.043735,            0.028441,            0.012573,             0.32622,                 0.8,             0.42805,             0.17603,            0.036425,            0.011339,            0.027884,           0.0020039,           0.0020039,            0.081804
                   7,            0.042899,            0.033481,            0.011089,             0.81997,             0.61786,             0.72522,             0.27504,            0.037018,            0.010327,            0.007147,            0.002285,            0.002285,            0.079185
                   8,            0.044503,            0.030137,           0.0090636,             0.59651,             0.63929,             0.65837,              0.1485,            0.033655,            0.010894,           0.0016513,           0.0025632,           0.0025632,            0.076563
                   9,            0.040875,            0.033593,           0.0078456,             0.74056,             0.71869,             0.80004,             0.28038,            0.035567,            0.010089,          0.00075574,           0.0028384,           0.0028384,            0.073938
                  10,            0.045519,            0.041527,           0.0077413,            0.063775,             0.22857,            0.047504,            0.008336,            0.054711,            0.021595,            0.017236,             0.00311,             0.00311,             0.07131
                  11,            0.038369,            0.026142,            0.006519,             0.88544,             0.90963,             0.86118,             0.28677,            0.035298,            0.010293,           0.0011275,           0.0033777,           0.0033777,            0.068678
